ts_utc,poll,ref_head,blxr_head,head_lag,from_block,to_block,range,near_head_dist,blxr_status,blxr_ms,blxr_bytes,blxr_nlogs,blxr_nbets,parity,parity_ms,parity_ok,parity_diff_n
2026-06-09T04:34:46Z,0,103160194,103160194,0,103160174,103160191,18,20,ok,144.5,7025,11,11,ok,620.8,True,0
2026-06-09T04:34:53Z,1,103160212,103160212,0,103160192,103160209,18,20,ok,12.3,37,0,0,,,,
2026-06-09T04:35:01Z,2,103160229,103160230,1,103160210,103160226,17,19,ok,89.7,37,0,0,,,,
2026-06-09T04:35:09Z,3,103160247,103160247,0,103160227,103160244,18,20,ok,98.4,37,0,0,,,,
2026-06-09T04:35:17Z,4,103160265,103160265,0,103160245,103160262,18,20,ok,37.8,37,0,0,,,,
2026-06-09T04:35:25Z,5,103160283,103160283,0,103160263,103160280,18,20,ok,12.3,37,0,0,,,,
2026-06-09T04:35:33Z,6,103160300,103160301,1,103160281,103160297,17,19,ok,43.3,671,1,1,,,,
2026-06-09T04:35:41Z,7,103160318,103160318,0,103160298,103160315,18,20,ok,15.2,672,1,1,,,,
2026-06-09T04:35:50Z,8,103160336,103160336,0,103160316,103160333,18,20,ok,11.4,671,1,1,ok,582.5,True,0
2026-06-09T04:35:57Z,9,103160353,103160354,1,103160334,103160350,17,19,ok,10.2,37,0,0,,,,
2026-06-09T04:36:05Z,10,103160371,103160372,1,103160351,103160368,18,20,ok,94.1,1306,2,2,,,,
2026-06-09T04:36:13Z,11,103160389,103160390,1,103160369,103160386,18,20,ok,34.1,37,0,0,,,,
2026-06-09T04:36:21Z,12,103160407,103160407,0,103160387,103160404,18,20,ok,38.3,37,0,0,,,,
2026-06-09T04:36:29Z,13,103160425,103160425,0,103160405,103160422,18,20,ok,55.0,37,0,0,,,,
2026-06-09T04:36:37Z,14,103160442,103160443,1,103160423,103160439,17,19,ok,11.6,671,1,1,,,,
2026-06-09T04:36:45Z,15,103160460,103160460,0,103160440,103160457,18,20,ok,30.0,37,0,0,,,,
2026-06-09T04:36:54Z,16,103160476,103160478,2,103160458,103160473,16,18,ok,30.4,37,0,0,ok,495.6,True,0
2026-06-09T04:37:01Z,17,103160495,103160496,1,103160474,103160492,19,21,ok,14.7,671,1,1,,,,
2026-06-09T04:37:09Z,18,103160513,103160514,1,103160493,103160510,18,20,ok,11.1,37,0,0,,,,
2026-06-09T04:37:17Z,19,103160531,103160531,0,103160511,103160528,18,20,ok,15.4,37,0,0,,,,
2026-06-09T04:37:25Z,20,103160549,103160549,0,103160529,103160546,18,20,ok,28.2,37,0,0,,,,
2026-06-09T04:37:33Z,21,103160567,103160567,0,103160547,103160564,18,20,ok,45.2,37,0,0,,,,
2026-06-09T04:37:41Z,22,103160584,103160585,1,103160565,103160581,17,19,ok,45.5,671,1,1,,,,
2026-06-09T04:37:49Z,23,103160602,103160603,1,103160582,103160599,18,20,ok,19.7,37,0,0,,,,
2026-06-09T04:37:58Z,24,103160620,103160620,0,103160600,103160617,18,20,ok,14.5,37,0,0,ok,609.9,True,0
2026-06-09T04:38:05Z,25,103160638,103160638,0,103160618,103160635,18,20,ok,10.7,37,0,0,,,,
2026-06-09T04:38:13Z,26,103160656,103160656,0,103160636,103160653,18,20,ok,19.6,37,0,0,,,,
2026-06-09T04:38:21Z,27,103160673,103160674,1,103160654,103160670,17,19,ok,13.0,37,0,0,,,,
2026-06-09T04:38:29Z,28,103160691,103160692,1,103160671,103160688,18,20,ok,23.4,1306,2,2,,,,
2026-06-09T04:38:37Z,29,103160709,103160709,0,103160689,103160706,18,20,ok,27.7,672,1,1,,,,
2026-06-09T04:38:45Z,30,103160727,103160727,0,103160707,103160724,18,20,ok,28.5,1306,2,2,,,,
2026-06-09T04:38:53Z,31,103160744,103160745,1,103160725,103160741,17,19,ok,11.0,37,0,0,,,,
2026-06-09T04:39:02Z,32,103160762,103160763,1,103160742,103160759,18,20,ok,92.7,671,1,1,ok,604.0,True,0
2026-06-09T04:39:09Z,33,103160780,103160780,0,103160760,103160777,18,20,ok,16.9,1307,2,2,,,,
2026-06-09T04:39:17Z,34,103160797,103160798,1,103160778,103160794,17,19,ok,13.2,37,0,0,,,,
2026-06-09T04:39:25Z,35,103160815,103160815,0,103160795,103160812,18,20,ok,118.7,1943,3,3,,,,
2026-06-09T04:39:33Z,36,103160833,103160833,0,103160813,103160830,18,20,ok,47.8,3213,5,5,,,,
2026-06-09T04:39:41Z,37,103160851,103160851,0,103160831,103160848,18,20,ok,16.6,672,1,1,,,,
2026-06-09T04:39:49Z,38,103160868,103160869,1,103160849,103160865,17,19,ok,21.3,4485,7,7,,,,
2026-06-09T04:39:57Z,39,103160886,103160886,0,103160866,103160883,18,20,ok,14.5,13378,21,21,,,,
